Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
65,25,BakerH,16,8,1,33,24,118,86,1.37209302326,37,0,0.573333333333,94,80,1.175,25,0.754901960784,12,0.573333333333,1.32823529412,0.754901960784,0,0,15,15,C Seaboard,4,Seaboard,CorbblahJ
65,25,BakerN,7,13,5,16,-23,63,51,1.23529411765,31,0,0.386363636364,86,66,1.30303030303,31,0.647727272727,0,0.386363636364,1.03409090909,0.647727272727,2,3,5,8,D Frontier Div 2,26,Frontier,Curtis
65,25,BakerP,14,8,3,31,22,145,105,1.38095238095,33,0,0.7,123,89,1.38202247191,31,0.626506024096,2,0.7,1.3265060241,0.626506024096,1,0,10,7,B Coastal,5,Coastal,PahkJ
65,25,BakerRE,3,22,0,-13,-61,23,16,1.4375,13,0,0.444444444444,84,56,1.5,39,0.5,-26,0.444444444444,0.944444444444,0.5,0,19,3,4,R Seaboard Div 1,27,Seaboard,CorbblahJ
65,25,BakerSandie,12,10,3,26,-5,125,92,1.35869565217,33,0,0.638888888889,130,91,1.42857142857,37,0.574712643678,-4,0.638888888889,1.21360153257,0.574712643678,0,1,13,10,B Sequoia,10,Sequoia,HallJ
65,25,BakkenJS,8,14,3,19,-15,98,77,1.27272727273,32,0,0.513333333333,113,85,1.32941176471,34,0.649484536082,-2,0.513333333333,1.16281786942,0.649484536082,0,0,10,19,C Midland,24,Midland,MorganEM
65,25,BalaskovitzR,6,19,0,8,-46,64,50,1.28,28,0,0.396825396825,110,76,1.44736842105,42,0.54347826087,-14,0.396825396825,0.940303657695,0.54347826087,0,4,5,9,R Skyline Div 1,30,Skyline,ReiherA
65,25,BalderramaM,12,10,3,26,6,164,116,1.41379310345,21,0,0.805555555556,158,111,1.42342342342,25,0.626865671642,-4,0.805555555556,1.4324212272,0.626865671642,1,1,16,4,A Skyline,12,Skyline,LutherS
65,25,BaldwinA,5,20,0,6,-83,27,22,1.22727272727,19,0,0.174603174603,110,80,1.375,27,0.635135135135,-8,0.174603174603,0.809738309738,0.635135135135,3,4,1,3,R Horizon Div 2,27,Horizon,MudrakJ
65,25,BaldwinK,15,9,1,31,6,55,51,1.07843137255,23,0,0.34,49,50,0.98,16,0.809523809524,7,0.34,1.14952380952,0.809523809524,0,0,7,9,E Maritime Div 2,4,Maritime,KenneyJ
65,25,BalkanD,9,12,4,22,9,155,113,1.37168141593,27,0,0.753333333333,146,106,1.37735849057,20,0.69696969697,7,0.753333333333,1.4503030303,0.69696969697,2,0,13,11,A Highland,16,Highland,SaundersA
65,25,BallewJ,5,15,5,15,-33,109,91,1.1978021978,25,0,0.606666666667,142,104,1.36538461538,28,0.666666666667,-3,0.606666666667,1.27333333333,0.666666666667,0,0,8,18,A Memorial,24,Memorial,RalstonJ
65,25,BalseiroD,18,5,2,38,32,87,68,1.27941176471,36,0,0.453333333333,55,46,1.19565217391,23,0.689189189189,13,0.453333333333,1.14252252252,0.689189189189,2,0,6,17,E Memorial Div 1,3,Memorial,BalseiroD
65,25,BaltisAlan,18,3,4,40,52,196,134,1.46268656716,14,0,0.893333333333,144,107,1.34579439252,24,0.703703703704,-10,0.893333333333,1.59703703704,0.703703703704,0,0,21,4,A Sequoia,1,Sequoia,SorensonG
65,25,BalutisE,9,10,6,21,5,63,46,1.36956521739,33,0,0.348484848485,58,49,1.18367346939,25,0.691358024691,8,0.348484848485,1.03984287318,0.691358024691,1,3,6,6,E Sequoia Div 1,13,Sequoia,YoungS
65,25,BandelR,11,12,2,23,-4,61,44,1.38636363636,34,0,0.305555555556,65,49,1.32653061224,36,0.595505617978,-2,0.305555555556,0.901061173533,0.595505617978,1,1,8,13,E Memorial Div 1,15,Memorial,SausvilleK
65,25,BandurM,8,10,7,23,-8,167,115,1.45217391304,25,0,0.766666666667,175,119,1.47058823529,28,0.555555555556,-3,0.766666666667,1.32222222222,0.555555555556,0,0,17,4,A Metro,12,Metro,EtterT
65,25,BanerjeeJ,11,10,4,26,9,91,69,1.31884057971,38,0,0.46,82,64,1.28125,34,0.645833333333,4,0.46,1.10583333333,0.645833333333,1,0,7,17,D Horizon Div 1,14,Horizon,BryantK
65,25,BanerjiePree,14,8,3,30,28,144,105,1.37142857143,25,0,0.729166666667,116,87,1.33333333333,29,0.666666666667,-4,0.729166666667,1.39583333333,0.666666666667,1,1,11,4,B Meridian,8,Meridian,BourlaD
65,25,BanisterR,11,10,4,26,-6,76,55,1.38181818182,40,0,0.366666666667,82,63,1.30158730159,39,0.621359223301,1,0.366666666667,0.988025889968,0.621359223301,0,0,7,20,D Memorial Div 2,10,Memorial,WestJ
65,25,BanksL,16,7,2,34,44,136,102,1.33333333333,31,0,0.68,92,71,1.29577464789,30,0.662921348315,1,0.68,1.34292134831,0.662921348315,1,0,13,10,R Maritime Div 2,5,Maritime,TowJ
65,25,BarberM,9,13,3,18,-17,55,47,1.17021276596,28,0,0.356060606061,72,57,1.26315789474,33,0.645161290323,-5,0.356060606061,1.00122189638,0.645161290323,0,3,5,23,E Skyline Div 1,20,Skyline,KahnKS
65,25,BarberT1,15,9,1,31,35,123,89,1.38202247191,38,0,0.593333333333,88,70,1.25714285714,29,0.684782608696,9,0.593333333333,1.27811594203,0.684782608696,1,0,13,19,D Skyline Div 3,4,Skyline,KahnKS
